donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,.agents/skills/adding-a-command/SKILL.md,73e93413cd364857352c6c3af455bf89868f4186f965f9e75ad954aaf6901d62,7864,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/caliber-testing/SKILL.md,8cdd36e800d86c72d6d6462e48788f00f0022586eff0314c6804a37437b87503,12907,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/find-skills/SKILL.md,a987a8d9d19abfb7f9888fdb121a464da507db186b8ebdda4fbe5b0bad94c207,2371,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/llm-provider/SKILL.md,f0668eaedf386c2938cec64947b86b7526a783aa42e1b79c9cc06d33db8293c1,10796,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/save-learning/SKILL.md,f8af7becc6a36e68b1eebc7b28163ed98f9b8300f9a7ac3f929ccdd4c4c560d9,2513,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/scoring-checks/SKILL.md,2fe1ead62a0ee71ead06801b21db8d039d6f38c400568df7698ee99a9d8fa5f6,12017,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.agents/skills/setup-caliber/SKILL.md,0d5a028b72e48a24c3b8f540f6e575077c2e8868d658ae739e5ab56ba8420fc8,7834,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,.agents/skills/writers-pattern/SKILL.md,ea18f96e4f9e2e1f4f1ded6b3531d5e7ae2b97f507525a6cebaa573c0d903dd4,14824,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.claude/hooks/caliber-check-sync.sh,851ce625a38930b65a7c6b95aa09e88261621e887c283681817171b8e12ae621,2709,sh,shell,implementation,authoritative-or-review-required,CAL-ROOT;CAL-HOOKS,
ai-setup,.claude/hooks/caliber-freshness-notify.sh,402758da85560b0c0bfe6b2b5f3a962769c385716b449b642f2389eb266e8d10,776,sh,shell,implementation,authoritative-or-review-required,CAL-ROOT;CAL-HOOKS,
